coverage,stride,top1,n,model,dataset
10,1,0.49265536723163844,885,r3d_18,hmdb51
10,2,0.4632768361581921,885,r3d_18,hmdb51
10,4,0.43728813559322033,885,r3d_18,hmdb51
10,8,0.3864406779661017,885,r3d_18,hmdb51
10,16,0.3581920903954802,885,r3d_18,hmdb51
25,1,0.5977401129943503,885,r3d_18,hmdb51
25,2,0.5853107344632769,885,r3d_18,hmdb51
25,4,0.5548022598870056,885,r3d_18,hmdb51
25,8,0.503954802259887,885,r3d_18,hmdb51
25,16,0.43954802259887005,885,r3d_18,hmdb51
50,1,0.7073446327683616,885,r3d_18,hmdb51
50,2,0.6926553672316385,885,r3d_18,hmdb51
50,4,0.6644067796610169,885,r3d_18,hmdb51
50,8,0.5717514124293785,885,r3d_18,hmdb51
50,16,0.5050847457627119,885,r3d_18,hmdb51
75,1,0.7751412429378531,885,r3d_18,hmdb51
75,2,0.7604519774011299,885,r3d_18,hmdb51
75,4,0.7401129943502824,885,r3d_18,hmdb51
75,8,0.6576271186440678,885,r3d_18,hmdb51
75,16,0.56045197740113,885,r3d_18,hmdb51
100,1,0.7954802259887006,885,r3d_18,hmdb51
100,2,0.7875706214689265,885,r3d_18,hmdb51
100,4,0.7706214689265537,885,r3d_18,hmdb51
100,8,0.7005649717514124,885,r3d_18,hmdb51
100,16,0.5796610169491525,885,r3d_18,hmdb51
